Room,C,D,E,A,H,J,A1,E1,D1,C1
2002,EE663,,,,,,,EE647,EE648,
L1,,,,,,,,EE657,,
2201,EE626,EE230,,EE270,EE642,,EE337,,,
2202,,,EE551,EE652,,,EE385,EE632,EE351,
3101,EE333,,,,,,EE625,,EE645,
4101,EE580,,,,,,EE631,EE646,EE673,
4201,,CE205,CE648,CE201,CE222,,CE304,CE311,CE309,
3102,,CE643,CE608,CE504,CE307,,CE514,CE649,,CE652
4208,,CE510,,CE524,CE661,,CE556,,,
,,,,,,,,,,
4205,,,CE584,CE533,CE615,,,,,
4211,,,,,CE402,,CE594,,,
1206,,,,,RT514,,RT520,,RT517,
1101,HS622,HS521,,,HS502,,HS623,,,
1102,,,HS517,HS505,,,,,,
4206,PH206,PH204,,PH202,,,,,,
4003,,PH306,PH304,PH302,,,,PH446,PH414,
4004,PH402,PH406,PH410,PH408,,,,,PH706,PH703
4212,PH527,PH524,PH523,PH532,,,PH531,PH543,PH545,PH544
4003,,,,,,,,,,PH320
1003,ME618,ME224,,ME221,ME607,,ME321,ME325,ME323,ME324
1005,ME619,ME224,ME605,ME221,ME680,,ME321,ME325,ME323,ME324
1G2,,,,,,,,,,ME522
1004,ME514,ME691,,,,,,ME616,ME553,
1203,ME613,ME532,ME672,,ME554,,,ME665,ME670,
1G1,,,,,,,,,,
xxxx,,,,,,,,,,
