Room,E,A,B,C,H,J,C1,B1,A1,E1,
2002,,EE525,,,,,EE668,EE667,,,
2201,EE626,EE270,EE221,EE203,,,EE340,EE360,EE337,,
2202,,EE534,EE636,EE652,EE533,,,,EE385,,
3101,EE333,EE503,EE663,,,,,EE621,EE625,,
4101,EE580,EE551,,,,,EE634,EE653,EE673,,
3202,,,,EE664,,,,,,,
2101,,,,EE671,,,,,,,
4201,,CE201,CE220,CE206,CE222,,CE308,CE309,CE304,CE311,
3102,,CE504,CE606,CE505,,,CE607,CE564,CE514,CE649,
4208,,CE524,CE525,CE661,CE661,,CE664,CE628,CE556,,
4205,,CE533,CE612,CE583,CE570,,,,,,
4211,,,CE555,CE646,,,CE614,,CE594,,
4G3,,,,CE552,,,,,,,
4001,,,,CE616,,,,,,,
1206,,,,,RT514,,,RT514,,RT520,
1101,HS623,,HS502,,HS604,,HS512,,,,
1102,,HS505,,HS503,,,,,,,
4206,,PH206,PH204,PH443,,,,,,,
4003,,PH308,PH302,PH304,,,,PH462,,,
4004,,PH408,PH404,PH402,,,,PH704,PH703,,
4212,,PH527,PH523,PH543,,,PH412,PH412,PH412,,
4004,,,,,,,PH521,PH531,PH544,PH545,
1003,ME615,ME221,ME222,ME223,,,ME324,ME322,ME321,ME325,
1005,ME688,ME221,ME222,ME223,ME605,,ME324,ME322,ME321,ME325,
1G2,,,,,,,,,,ME522,
1004,ME686,ME513,,ME691,,,,,,,
1203,,,ME662,ME532,,,,,ME672,,
1G1,,,,,,,,,,,
xxxx,ME695,ME326,ME326,ME326,,,,,,,
4203,,,,,,,,,,,CL309
