Room,D,E,A,B,F,G,B1,A1,E1,D1,K
2002,EE221,,,,EE213M,,EE667,,EE647,,
L1,,,,,,,,,EE657,,
2201,EE221,,EE203,EE221,EE642,EE322M,EE360,EE337,,,
2202,EE221,EE534,,EE533,,,,EE385,EE632,,
3101,EE221,,,,EE561,,EE621,EE625,,,
4101,EE221,,,,,,EE653,EE673,EE646,,
4201,,CE648,CE201,CE220,CE307,,,,CE311,CE309,
3102,,CE608,CE504,CE606,,,CE564,CE514,CE649,,
4208,,,CE524,CE525,,,CE628,CE556,CE623,,
4205,,CE583,CE533,CE612,CE570,,,,,,
4211,,,CE584,CE304,CE615,,,CE594,,,
1206,,,,RT515,,,RT520,RT517,RT517,,
1101,,,,HS502,,,HS512,,,,
1102,HS621,HS517,HS505,,HS503,,,,,,
4206,PH202,,PH204,PH206,,,,,,,
4003,,PH302,PH306,PH308,,,PH414,PH462,PH446,,
4004,PH410,PH404,PH402,PH406,,PH382M,PH704,PH702,PH706,,
4212,PH531,PH524,PH527,PH521,,,,,,,PH516
4003,,,,,,,,,,,PH320
1003,ME615,ME618,ME221,ME222,ME607,ME321M,,,ME325,ME323,
1005,ME688,,ME221,ME222,ME680,,,,ME325,ME323,
1G2,,,,,,,,,,ME522,
1004,ME686,ME514,,ME513,,,,ME616,ME553,,
1203,,ME613,ME662,,ME554,,,ME665,ME670,,
1G1,,,,ME421,,,,,,,
xxxx,ME695,,,,,,,,,,
